Date,聯電,台達電,鴻海,台積電,廣達,中華電,聯發科,日月光投控,加權指數
2026-06-01,146.0,2407.41162109375,285.0124206542969,2348.73388671875,372.5,140.5,4555.0,595.5564575195312,45337.91015625
2026-06-02,141.5,2347.7236328125,292.78106689453125,2373.66748046875,400.5,142.0,4525.0,584.6560668945312,45557.30859375
2026-06-03,130.5,2442.2294921875,300.0641784667969,2418.547607421875,417.0,141.0,4545.0,612.4024658203125,46459.16015625
2026-06-04,125.0,2412.385498046875,284.5268859863281,2378.654052734375,404.0,141.5,4430.0,587.62890625,45677.4609375
2026-06-05,131.5,2288.035888671875,276.2726745605469,2358.707275390625,390.5,141.0,4300.0,571.7738037109375,45070.94140625
2026-06-08,121.0,2243.27001953125,261.7064514160156,2288.8935546875,376.5,138.5,4070.0,535.1089477539062,43502.78125
2026-06-09,127.5,2402.4375,269.4751281738281,2298.866943359375,375.0,142.0,4475.0,563.8462524414062,44704.44140625
2026-06-10,118.5,2188.555908203125,255.39443969726562,2249.0,380.5,144.0,4155.0,534.1179809570312,43225.5390625
2026-06-11,125.0,2148.76416015625,251.02456665039062,2250.0,370.0,145.0,4085.0,539.0726928710938,43149.4609375
2026-06-12,133.5,2203.47802734375,252.96673583984375,2310.0,372.0,145.0,4180.0,584.6560668945312,44169.0390625
2026-06-15,141.5,2198.50390625,259.7643127441406,2375.0,370.0,145.5,4470.0,584.6560668945312,45396.98828125
2026-06-16,141.0,2218.39990234375,261.2209167480469,2400.0,362.5,146.5,4560.0,586.637939453125,45809.19140625
2026-06-17,140.0,2155.0,264.1341552734375,2385.0,374.0,145.5,4460.0,589.6107788085938,45877.390625
2026-06-18,145.5,2150.0,260.7353820800781,2410.0,376.0,144.0,4390.0,607.44775390625,46465.19921875
2026-06-22,160.0,2150.0,260.7353820800781,2510.0,380.0,144.5,4465.0,667.8952026367188,47741.51171875
2026-06-23,170.0,2080.0,251.9956512451172,2490.0,372.5,144.0,4535.0,656.00390625,47100.6484375
2026-06-24,178.0,2000.0,248.59686279296875,2390.0,372.0,143.5,4285.0,647.08544921875,46043.6015625
2026-06-25,178.5,1980.0,250.05348205566406,2390.0,366.5,144.0,4310.0,635.1941528320312,46255.26171875
2026-06-26,164.0,1810.0,241.31375122070312,2340.0,362.0,143.0,3880.0,626.275634765625,44571.76171875
2026-06-29,164.0,1905.0,239.37158203125,2370.0,367.0,142.0,3910.0,621.3209228515625,44999.8984375
2026-06-30,164.5,1950.0,243.741455078125,2410.0,368.0,141.5,4245.0,673.8408813476562,46125.91015625
2026-07-01,169.0,1990.0,240.82821655273438,2505.0,372.0,141.5,4335.0,696.632568359375,47018.98828125
2026-07-02,165.5,1970.0,239.0,2465.0,369.0,141.0,4345.0,720.4151611328125,46744.16015625
2026-07-03,170.5,2075.0,240.5,2445.0,377.0,141.0,4195.0,682.0,46780.62109375
